Rvein,Rmeso
4.560914863054597e-5,2.624772869954953e-9
9.097108559606273e-5,6.7771281700348384e-9
8.63848820249705e-5,6.458070964770826e-9
4.73602597771423e-5,2.346822426475649e-9
1.6686360712521038e-4,9.819685400777378e-9
1.0853414876139947e-4,7.420116146243806e-9
7.329286077814573e-5,1.134026177926585e-8
7.518811157348748e-5,4.024977294841718e-9
3.908637652505791e-5,3.1244826892034546e-9
1.347611295879184e-4,1.3399666458445299e-8
1.3502125650948684e-4,1.17863268598444e-8
1.1691000712905481e-4,6.086492474297585e-9
7.401206148468816e-5,6.094746418103397e-9
1.7450008695987776e-4,4.776972836060897e-9
1.9012248168145206e-4,2.862826616554361e-9
1.0063818530580412e-4,9.01350302735337e-9
8.734452071267569e-5,5.813624594558427e-9
1.6004490739368065e-4,4.254769002952083e-9
1.294336723221815e-4,5.934515276380314e-9
1.020496712602873e-4,3.156865412971767e-9
1.5139585939242498e-4,9.128596998007616e-9
3.480832699140156e-5,3.053508036998098e-9
7.837211826691575e-5,8.568225759345954e-9
1.3261668623797625e-4,4.026976369306283e-9
1.656234983182208e-4,6.973197817114277e-9
6.379465412881496e-5,6.760129933527869e-9
8.47405161033113e-5,4.747531608137241e-9
1.5489569993981024e-4,9.754492074845676e-9
7.840206013816108e-5,6.194341895166528e-9
3.634101978382616e-5,3.864207652106837e-9
6.540628457906754e-5,5.497654246578638e-9
4.571698844957639e-5,2.604317471435955e-9
4.292701551599371e-5,2.9402081297525707e-9
8.977905161309667e-5,5.778715722261041e-9
1.2260970616227352e-4,3.416742140010252e-9
4.0681263108386517e-4,7.021037160196353e-9
1.006971752209797e-4,3.573444485553421e-9
7.083342181904046e-5,6.66301173395245e-9
1.3769846964354444e-4,3.805835770734224e-9
5.761976890660079e-4,6.094900080684647e-9
1.0904328723650046e-4,3.9652239176566e-9
9.229174164607097e-5,4.937856640305146e-9
2.868670212942101e-4,1.51639057181525e-8
1.2290911144420238e-4,6.3713617726460784e-9
1.3017451211111623e-4,8.35359848514492e-9
7.236752656060899e-5,5.836358132959898e-9
2.8222599938460024e-4,1.0596340056882188e-8
3.801315936655486e-5,3.671959158893257e-9
2.975893725134533e-4,5.220947498320603e-9
1.269555752714276e-4,4.712614785700183e-9
9.707388725829546e-5,5.076345753541705e-9
1.0671858350672112e-4,8.788299244999651e-9
1.2604342195502965e-4,4.018842446386112e-9
7.468891051901981e-5,5.188144450299489e-9
0.00013935679995105607,1.4089595683436919e-008
1.4007564187476393e-4,1.1914538301953583e-8
3.52130003679973e-5,3.1443043228389734e-9
4.8148865626727557e-4,5.839493544460144e-9
2.3134875936137023e-4,1.1739443246476895e-8
1.970915066665345e-4,1.0452377451968594e-8
6.415539530306827e-5,8.540386205816395e-9
6.932458442545745e-5,6.046534204984387e-9
